Department,2007,2008,2009,2010,2011,2012,2013,,
ACADEMIC AFFAIRS,,1,4,1,5,1,,,
Academic Grants,,3,14,6,10,20,7,,
ACADEMIC LEARNING CENTER,13,23,18,10,8,6,2,,
ADMISSIONS,1,3,3,6,7,4,5,,
ADVANCEMENT,,,,,7,2,1,,
Advising & Academic Services,,3,,1,3,3,3,,
ALUMNI RELATIONS,2,22,30,20,36,27,38,,
ATHELETICS,2,5,4,7,6,2,2,,
Business,,,1,1,,,,,
Business Office,,,1,,1,,,,
CENTER FOR CAREER SERVICES,3,7,10,4,10,5,2,,
CENTER FOR MULTICULTURAL AFFAIRS,,,2,2,6,4,1,,
COLLEGE ACTIVITIES,,,,,,3,1,,
DYNAMIC RESEARCH AND EVALUATION,,,1,,,,,,
ECC,,,,,1,2,,,
Event,,,,,,,1,,
EXECUTIVE AFFAIRS,,,,,1,29,2,,
FACULTY,,,,,2,,1,,
FASHION,1,4,5,11,33,31,15,,
FISHKILL EXTENSION CENTER,,,,,,1,,,
GCE,4,9,4,,,,,,
H.E.O.P.,2,,,,,,,,
HELP DESK,,1,,,,,,,
HUMAN RESOURCES,,1,3,7,3,1,5,,
IDCP,,,,,1,5,3,,
ILEARN,,,,,1,3,,,
Inst. Research & Planning,,,1,1,,,,,
INTEGRATIVE MAJOR,9,9,2,,,,,,
LIBRARY,2,8,14,12,8,3,7,,
MAP - LdM,,,,,1,,,,
MARIST INTERNATIONAL PROGRAMS,,,,,2,,1,,
MEDIA CENTER,,1,,,1,1,1,,
MHEDC,,,,,3,,,,
MIPO,,,,,,,1,,
MPA,7,50,77,56,36,16,7,,
Music,,,1,1,,,2,,
OFFICE OF HOUSING AND RESIDENTIAL LIFE,,,1,,1,,6,,
OFFICE OF SPECIAL SERVICES,,2,5,7,1,5,3,,
OTHER,4,2,4,,4,19,9,,
PARALEGAL,,1,,,2,,2,,
PHYSICAL PLANT,,1,1,1,,,,,
President's Office,1,1,4,2,1,,1,,
PUBLIC ADMINISTRATION,2,,3,,1,2,3,,
REGISTRAR,,4,4,,4,4,4,,
ROTC,,,,,1,4,1,,
SCHOOL OF COMMUNICATION AND THE ARTS,28,98,80,141,210,207,187,,
SCHOOL OF COMPUTER SCIENCE AND MATH,58,248,137,114,141,329,104,,
SCHOOL OF CONTINUING EDUCATION,12,35,9,10,8,1,,,
SCHOOL OF GLOBAL AND PROFESSIONAL PROGRAMS,,,21,11,31,53,26,,
SCHOOL OF LIBERAL ARTS,23,69,94,119,121,80,56,,
SCHOOL OF MANAGEMENT,25,126,176,160,243,187,143,,
SCHOOL OF SCIENCE,19,44,42,45,132,87,78,,
SCHOOL OF SOCIAL AND BEHAVIORAL SCIENCES,44,103,114,128,155,125,65,,
SECURITY,,,,1,,1,1,,
STUDENT,99,333,221,162,216,236,205,,
Temp,,,,,,1,,,
UPWARD BOUND,,,,,2,1,6,,
WDS,,,,1,,,,,
WRITING PROGRAM AND CENTER,6,17,19,8,15,4,2,,
,,,,,,,,,
,,,,,,,,,
